SN,Execution_time_without_test
399,0.02105260
400,0.02110400
401,0.02116220
402,0.02121820
403,0.02126970
404,0.02132100
405,0.02137320
406,0.02142440
407,0.02147810
408,0.02152600
409,0.02159980
410,0.02165430
411,0.02170300
412,0.02214670
413,0.02223200
414,0.02227960
415,0.02233020
416,0.02238200
417,0.02242550
418,0.02246880
419,0.02251830
420,0.02256830
421,0.02261300
422,0.02266950
423,0.02271770
424,0.02275980
425,0.02280850
426,0.02285970
427,0.02291520
428,0.02296740
429,0.02302030
430,0.02307530
431,0.02312820
432,0.02318170
433,0.02323540
434,0.02328970
435,0.02335050
436,0.02341110
437,0.02346470
438,0.02352240
439,0.02356940
440,0.02361710
441,0.02366280
442,0.02371630
443,0.02376740
444,0.02382330
445,0.02388670
446,0.02394650
447,0.02401510
448,0.02408650
449,0.02415310
450,0.02421570
451,0.02427850
452,0.02434510
453,0.02440440
454,0.02447390
455,0.02453380
456,0.02458470
457,0.02465190
458,0.02471470
459,0.02477740
460,0.02484770
461,0.02491300
462,0.02498620
463,0.02511350
464,0.02519850
465,0.02526810
466,0.02532980
467,0.02538970
468,0.02545120
469,0.02551390
470,0.02556910
471,0.02562780
472,0.02568730
473,0.02574660
474,0.02580100
475,0.02585880
476,0.02591780
477,0.02598290
478,0.02603450
479,0.02609200
480,0.02614680
481,0.02620270
482,0.02625960
483,0.02631730
484,0.02637470
485,0.02642950
486,0.02648550
487,0.02654080
488,0.02660170
489,0.02666150
490,0.02672470
491,0.02678750
492,0.02683710
493,0.02689030
494,0.02695090
495,0.02701520
496,0.02707280
497,0.02712980
498,0.02718630
499,0.02728500
500,0.02736750
501,0.02742720
502,0.02748210
503,0.02753560
504,0.02759380
505,0.02764800
506,0.02770340
507,0.02776550
508,0.02782590
509,0.02788970
510,0.02795250
511,0.02801710
512,0.02808980
513,0.02815580
514,0.02822140
515,0.02828330
516,0.02833820
517,0.02839740
518,0.02850870
519,0.02856870
520,0.02867070
521,0.02872980
522,0.02878790
523,0.02884550
524,0.02890540
525,0.02895930
526,0.02902020
527,0.02908420
528,0.02914630
529,0.02920290
530,0.02926310
531,0.02933330
532,0.02941100
533,0.02948450
534,0.02956160
535,0.02963440
536,0.02970700
537,0.02977840
538,0.02984730
539,0.02990960
540,0.02997660
541,0.03004920
542,0.03012120
543,0.03019140
544,0.03025610
545,0.03032750
546,0.03038700
547,0.03044950
548,0.03051430
549,0.03057670
550,0.03064020
551,0.03068800
552,0.03074180
553,0.03079480
554,0.03085740
555,0.03092100
556,0.03098320
557,0.03104360
558,0.03111590
559,0.03116220
560,0.03119750
561,0.03123480
562,0.03126950
563,0.03130510
564,0.03134130
565,0.03138430
566,0.03141910
567,0.03146100
568,0.03149870
569,0.03153520
570,0.03157250
571,0.03160910
