SN,Execution_time_with_test
399,0.12650550
400,0.12651740
401,0.12653110
402,0.12654690
403,0.12656500
404,0.12658290
405,0.12660320
406,0.12662290
407,0.12664210
408,0.12666370
409,0.12668170
410,0.12670080
411,0.12671820
412,0.12673690
413,0.12675600
414,0.12677570
415,0.12679240
416,0.12680910
417,0.12682820
418,0.12684540
419,0.12686400
420,0.12688280
421,0.12690170
422,0.12691980
423,0.12693680
424,0.12695400
425,0.12697140
426,0.12698790
427,0.12700480
428,0.12702150
429,0.12703860
430,0.12705540
431,0.12707240
432,0.12709000
433,0.12710910
434,0.12712980
435,0.12715080
436,0.12716970
437,0.12719280
438,0.12721290
439,0.12723520
440,0.12725440
441,0.12727340
442,0.12729640
443,0.12731580
444,0.12733840
445,0.12736040
446,0.12738180
447,0.12740420
448,0.12742650
449,0.12745040
450,0.12747410
451,0.12749480
452,0.12751010
453,0.12752220
454,0.12753430
455,0.12754620
456,0.12756180
457,0.12757700
458,0.12758930
459,0.12760110
460,0.12761300
461,0.12762520
462,0.12763710
463,0.12764890
464,0.12766110
465,0.12767310
466,0.12768970
467,0.12770160
468,0.12771450
469,0.12773180
470,0.12775300
471,0.12777370
472,0.12779390
473,0.12781370
474,0.12783490
475,0.12785440
476,0.12787440
477,0.12789530
478,0.12791470
479,0.12793000
480,0.12794220
481,0.12795450
482,0.12796660
483,0.12797850
484,0.12799060
485,0.12800270
486,0.12801460
487,0.12802670
488,0.12804150
489,0.12805350
490,0.12806550
491,0.12807750
492,0.12808950
493,0.12810130
494,0.12811290
495,0.12812470
496,0.12813650
497,0.12814820
498,0.12816010
499,0.12817300
500,0.12818450
501,0.12819600
502,0.12820760
503,0.12821940
504,0.12823090
505,0.12824260
506,0.12825400
507,0.12826770
508,0.12827990
509,0.12829660
510,0.12830830
511,0.12831980
512,0.12833130
513,0.12834290
514,0.12835460
515,0.12836600
516,0.12837760
517,0.12838920
518,0.12842100
519,0.12843300
520,0.12844490
521,0.12845640
522,0.12846800
523,0.12847980
524,0.12849100
525,0.12850280
526,0.12851490
527,0.12853010
528,0.12854780
529,0.12856590
530,0.12858430
531,0.12860220
532,0.12862220
533,0.12864330
534,0.12866300
535,0.12868270
536,0.12870130
537,0.12872110
538,0.12873980
539,0.12875830
540,0.12877910
541,0.12879970
542,0.12881870
543,0.12883930
544,0.12885880
545,0.12887860
546,0.12889760
547,0.12891750
548,0.12893630
549,0.12895420
550,0.12897330
551,0.12899110
552,0.12901270
553,0.12903120
554,0.12905040
555,0.12906940
556,0.12908790
557,0.12910640
558,0.12912560
559,0.12914460
560,0.12916350
561,0.12918370
562,0.12920310
563,0.12922350
564,0.12924280
565,0.12926260
566,0.12928350
567,0.12930220
568,0.12932190
569,0.12934240
570,0.12936360
571,0.12938170
572,0.12940120
573,0.12942060
574,0.12943970
575,0.12945720
576,0.12947730
577,0.12949580
578,0.12951220
579,0.12952410
580,0.12953570
581,0.12954740
